WP Tabs – Responsive Tabs Plugin for WordPress,https://wordpress.org/plugins/wp-expand-tabs-free/,71
Countdown Timer – Widget Countdown,https://wordpress.org/plugins/widget-countdown/,55
Syntax-highlighting Code Block (with Server-side Rendering),https://wordpress.org/plugins/syntax-highlighting-code-block/,22
Countdown Block,https://wordpress.org/plugins/countdown-block/,5
Classic Editor,https://wordpress.org/plugins/classic-editor/,1083
Akismet Spam Protection,https://wordpress.org/plugins/akismet/,950
"Jetpack – WP Security, Backup, Speed, & Growth",https://wordpress.org/plugins/jetpack/,1796
Classic Widgets,https://wordpress.org/plugins/classic-widgets/,221
Plugin Dependencies,https://wordpress.org/plugins/wp-plugin-dependencies/,2
Gutenberg,https://wordpress.org/plugins/gutenberg/,3584
Performance Lab,https://wordpress.org/plugins/performance-lab/,13
Two-Factor,https://wordpress.org/plugins/two-factor/,152
Contact Form 7,https://wordpress.org/plugins/contact-form-7/,1971
Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,27504
Elementor Website Builder,https://wordpress.org/plugins/elementor/,6299
Classic Editor,https://wordpress.org/plugins/classic-editor/,1083
